video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=x_fNuU_EEy0&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@ThresherFishing,ThresherFishing,Beginner Saltwater Shore Fishing Guide - With Lures,467K,9 years,Thresher's shore fishing guide with lures. -Want to know how to catch fish from shore on lures? Here ya' go. In this saltwater shore ...,2026-01-20 22:16:55.024766
/shorts/s1JZ5zCl1A0,/@Tackle2thePeople,Tackle2thePeople,How to Fish (with No Experience),4.2M,3 years,Foldable Kayak that I Use Get $150 OFF and Free Shipping! CLICK HERE ➨ https://foldupkayaks.com/fishme LAST VIDEO: ...,2026-01-20 22:16:55.025985
/shorts/C8W6oVmig0I,/@bettaworldforbettas,Betta World For Bettas,Betta fish tank essentials,1.1M,1 year,bettafish #aquarium #fishkeeping #fish #betta #bettatank #aquariumfish #aquariumhobby #petfish.,2026-01-20 22:16:55.028114
/watch?v=kf_5MuHj6Qk&pp=ygUNYmVnaW5uZXIgZmlzaNIHCQlPCgGHKiGM7w%3D%3D,/@thefishfiles,The Fish Files,Best Fish That Are Small Fish For Your Aquarium – Easy Nano Aquarium fish for Beginners!,96K,2 years,"For all your aquarium Hobbyist needs https://www.aquariumfishsale.com/ Use code: ""JPS10"" for 10 percent off every purchase!",2026-01-20 22:16:55.029813
/shorts/aje4ONwB2Wk,/@outdoorjoe,Outdoor Joe,How To Get Started Fishing With $100 (for beginners),1.8M,1 year,How To Get Started Fishing With $100 (for beginners) Like and subscribe! #fishing #fishingfun #fishingtips #bassfishing ...,2026-01-20 22:16:55.031005
/shorts/UBIG0uC3f-0,/@JuranAdventures,Juran Adventures,Big Bait Beginner Baitcaster Fishing Tip #fishing #fishingtips #baitcaster #fishingreel,218K,5 months,A beginner bait casting tip that may save you some serious frustration tighten the brakes for big baits like glide baits big heavy ...,2026-01-20 22:16:55.032178
/shorts/hK-K-YEUCc8,/@brooztarin20,brooztarin,How to fillet a fish (trout) easily : A Beginner's Guide,88K,1 year,How to fillet a fish (trout) easily : A Beginner's Guide.,2026-01-20 22:16:55.034408
/shorts/WQrwOssBtd4,/@tropicalfishguides8844,Tropical Fish Guides,Top 10 Best Beginner Freshwater Fish!,58K,10 years,"My first Top Ten! Hope you enjoy it! What's yours? Comment below! Please Like, Subscribe or Comment a new idea for a video ...",2026-01-20 22:16:55.035615
/shorts/ohloU-9JJfY,/@GlassBoxDiaries,Glass Box Diaries,From Bettas to Guppies: My Honest Take on 'Easy Beginner Fish' for Your Tank!,12K,1 year,"Sharing my experiences with some popular ""beginner"" fish you'll often see recommended! **Betta Fish:** Easy to find and ...",2026-01-20 22:16:55.036926
/shorts/2G-ymESDvI0,/@AquaTales,Aqua Tales,3 Beginner Fish Keeping Mistakes You Should Avoid,83K,1 year,"Three beginner mistakes you should avoid:
1) Choosing the wrong tank size: Imagine being in a room where you don’t even have ...",2026-01-20 22:16:55.037999
/shorts/oggneSFJR-U,/@Spirebuzz,SPIREBUZZ,The Perfect Fishing Starter Kit🎣,601K,6 months,"Thinking of giving lure fishing a shot? Here's a quick guide to get you started right! ✓ Start with the right rod. A light, flexible ...",2026-01-20 22:16:55.039259
